Country of Residence,Year,Number of Visitors
New Zealand,2019,133630
New Zealand,2022,79560
New Zealand,2023,115960
New Zealand,2024,121320
China,2019,150390
China,2022,12390
China,2023,79040
China,2024,103840
USA,2019,61530
USA,2022,27040
USA,2023,55980
USA,2024,42030
Japan,2019,43000
Japan,2022,7600
Japan,2023,30540
Japan,2024,33240
UK,2019,39300
UK,2022,25340
UK,2023,32990
UK,2024,32840
South Korea,2019,20930
South Korea,2022,7080
South Korea,2023,22950
South Korea,2024,31090
Singapore,2019,34020
Singapore,2022,23900
Singapore,2023,23560
Singapore,2024,27300
India,2019,26040
India,2022,22380
India,2023,24120
India,2024,26860
Hong Kong,2019,31110
Hong Kong,2022,4640
Hong Kong,2023,18450
Hong Kong,2024,21430
Indonesia,2019,20680
Indonesia,2022,9030
Indonesia,2023,22360
Indonesia,2024,20620
